ConductionBandEnergy(C1(n63953_programmed_des)) X,ConductionBandEnergy(C1(n63953_programmed_des)) Y,ConductionBandEnergy(C3(n63953_programmed_des)) X,ConductionBandEnergy(C3(n63953_programmed_des)) Y,ConductionBandEnergy(C4(n63953_programmed_des)) X,ConductionBandEnergy(C4(n63953_programmed_des)) Y
0.044296823,3.3960875,0.044059131,3.323663,-,-
0.044500001,3.3921263,0.044500001,3.3270765,-,-
0.044796824,3.3867278,0.044559132,3.327437,-,-
0.045000002,3.3829934,0.045000002,3.3309289,-,-
0.045296822,3.3778605,0.045059133,3.3313073,-,-
0.045499999,3.37431,0.045499999,3.3350001,-,-
0.045796823,3.3693847,0.045559131,3.3354048,-,-
0.046,3.3659779,0.046,3.3394464,-,-
0.046296824,3.3612053,0.046059132,3.3398814,-,-
0.046500001,3.3579042,0.046500001,3.3444313,-,-
0.046796821,1.3645229,0.046559133,2.9487087,-,-
0.046999998,0,0.046999998,0,-,-
0.046999998,0,0.046999998,0,-,-
0.047380958,0,0.04711087,0,-,-
0.047937501,0,0.047937501,0,-,-
0.048215773,0,0.048461687,0,-,-
0.048875,0,0.048875,0,-,-
0.050193455,0,0.049701631,0,-,-
0.050749999,0,0.050749999,0,-,-
0.051306542,0,0.05179837,0,-,-
0.054499999,0,0.054499999,0,-,-
0.055613082,0,0.056596737,0,-,-
0.061999999,0,0.061999999,0,-,-
0.063113086,0,0.064096741,0,-,-
0.069499999,0,0.069499999,0,-,-
0.070613086,0,0.071596742,0,-,-
0.077,0,0.077,0,-,-

