AveNitride1 eTrappedCharge(n50525_des) X,AveNitride1 eTrappedCharge(n50525_des) Y,AveNitride1 eTrappedCharge(n50525_des_2) X,AveNitride1 eTrappedCharge(n50525_des_2) Y
3697176.8,6.2670507e+18,64214.599,6.6738597e+18
3769905.2,6.2654675e+18,65536,6.6735833e+18
3915362,6.2624081e+18,70028.371,6.6727064e+18
4194304,6.2569049e+18,79013.114,6.6711278e+18
4776131.2,6.2467772e+18,96982.599,6.668409e+18
4812495.4,6.2461492e+18,114027.3,6.6661063e+18
4848859.6,6.2455263e+18,131072,6.6640088e+18
4921588,6.2443009e+18,184972.07,6.6585632e+18
5067044.8,6.2419272e+18,262144,6.6521301e+18
5212501.6,6.2396281e+18,316044.07,6.6481037e+18
5503415.2,6.2353059e+18,369944.15,6.6444119e+18
5648872,6.2332112e+18,423844.22,6.6409814e+18
5939785.6,6.2292669e+18,474066.11,6.6379681e+18
6521612.8,6.2222362e+18,524288,6.6351037e+18
7103440,6.2159548e+18,683103.55,6.6270431e+18
7685267.2,6.2103286e+18,762511.33,6.6232143e+18
8388608,6.2043505e+18,841919.11,6.6195586e+18
8666627.9,6.2021085e+18,1000734.7,6.6127999e+18
8805637.8,6.2010168e+18,1048576,6.6108105e+18
9083657.7,6.1989426e+18,1053539,6.6106046e+18
9639697.4,6.1951846e+18,1058502,6.6103992e+18
10195737,6.1917744e+18,1068427.9,6.6099904e+18
10751777,6.1886728e+18,1088279.9,6.6091801e+18
11307817,6.185848e+18,1127983.8,6.6075871e+18
11446827,6.1851585e+18,1207391.6,6.6045024e+18
11516332,6.1848179e+18,1366207.1,6.5986942e+18
11655341,6.1841526e+18,1445614.9,6.5958721e+18
11933361,6.1828825e+18,1604430.4,6.5905277e+18
12489401,6.1805587e+18,1644134.3,6.5892093e+18
13045441,6.1784291e+18,1723542.1,6.586642e+18
13601481,6.1764732e+18,1882357.7,6.5817526e+18
14157520,6.1746737e+18,2097152,6.5755474e+18
14713560,6.1730149e+18,2414783.1,6.5671322e+18
15269600,6.1714824e+18,2494190.9,6.5650743e+18
15825639,6.170064e+18,2514042.8,6.5645634e+18
16063534,6.169477e+18,2523968.8,6.5643085e+18
16301428,6.1689091e+18,2533894.8,6.5640544e+18
16777216,6.1678431e+18,2543820.7,6.5638009e+18
17253004,6.166841e+18,2553746.7,6.5635481e+18
17490898,6.1663553e+18,2573598.7,6.5630453e+18
17728793,6.1658843e+18,2613302.5,6.5620505e+18
18204581,6.164996e+18,2692710.3,6.5601029e+18
19156157,6.1634023e+18,2851525.9,6.5563653e+18
21059310,6.1607639e+18,2930933.7,6.5545357e+18
22962463,6.1585403e+18,3010341.4,6.5527428e+18
26768769,6.1551334e+18,3169157,6.5492975e+18
33554432,6.1507775e+18,3327972.5,6.5459862e+18
48779656,6.1443539e+18,3486788.1,6.5427987e+18
51070807,6.1434496e+18,3566195.9,6.5412357e+18
55653109,6.1418235e+18,3605899.8,6.5404618e+18
57944260,6.1410497e+18,3610862.7,6.5403651e+18
60235411,6.14031e+18,3620788.7,6.5401724e+18
61380987,6.1399481e+18,3630714.7,6.5399801e+18
63672138,6.1392524e+18,3650566.6,6.5395975e+18
67108864,6.138263e+18,3670418.6,6.5392166e+18
76273468,6.1359045e+18,3710122.5,6.5384624e+18
76846256,6.1357581e+18,3789530.2,6.5369824e+18
77419043,6.1356128e+18,3868938,6.5355301e+18
78564619,6.1353263e+18,4027753.6,6.5327315e+18
79710194,6.1350435e+18,4111028.8,6.5312923e+18
82001345,6.1344923e+18,4194304,6.5298806e+18
86583647,6.1334397e+18,4325973.7,6.5277152e+18
95748251,6.1314931e+18,4589313,6.5236309e+18
1.1407746e+08,6.1280463e+18,4655147.9,6.5226252e+18
1.1911253e+08,6.1271298e+18,4786817.5,6.5206718e+18
1.2918266e+08,6.1253979e+18,5050156.9,6.51698e+18
1.3421773e+08,6.1245552e+18,5313496.3,6.5134896e+18
1.54358e+08,6.1214636e+18,5346413.7,6.5130566e+18
1.9463854e+08,6.1160095e+18,5412248.5,6.5122027e+18
2.0386315e+08,6.114795e+18,5478083.4,6.5113609e+18
2.061693e+08,6.1144934e+18,5609753,6.5097235e+18
2.0847546e+08,6.1141939e+18,5873092.4,6.5066226e+18
2.1308777e+08,6.1136025e+18,6136431.7,6.5036833e+18
2.2231238e+08,6.1124479e+18,6152890.5,6.5035002e+18
2.4076161e+08,6.110234e+18,6185807.9,6.5031367e+18
2.6843546e+08,6.1070864e+18,6251642.7,6.5024194e+18
2.7304776e+08,6.1065665e+18,6383312.4,6.5010229e+18
2.8227238e+08,6.1055439e+18,6416229.8,6.5006762e+18
3.0072161e+08,6.1035596e+18,6482064.6,6.4999919e+18
3.3762007e+08,6.0997891e+18,6547899.5,6.4993166e+18
3.4684468e+08,6.0988582e+18,6679569.2,6.4980013e+18
3.4915084e+08,6.0986262e+18,6745404,6.4973526e+18
3.5376315e+08,6.098165e+18,6877073.7,6.4960887e+18
3.6298776e+08,6.0972533e+18,7140413,6.4936866e+18
3.8143699e+08,6.0954691e+18,7206247.9,6.4930936e+18
3.860493e+08,6.0950255e+18,7337917.6,6.4919376e+18
3.9527391e+08,6.0941474e+18,7370835,6.4916504e+18
4.1372314e+08,6.0924252e+18,7403752.4,6.491365e+18
4.506216e+08,6.0890995e+18,7469587.2,6.4908016e+18
4.5523391e+08,6.0886856e+18,7477816.6,6.4907313e+18
4.5984622e+08,6.0882735e+18,7494275.3,6.4905911e+18
4.6907083e+08,6.0874562e+18,7510734,6.4904514e+18
4.8752006e+08,6.0858476e+18,7543651.4,6.4901737e+18
5.2441853e+08,6.082724e+18,7551880.8,6.4901044e+18
5.3687091e+08,6.0816801e+18,7552395.1,6.4901001e+18
6.1066783e+08,6.0757995e+18,7553423.8,6.4900914e+18
7.5826167e+08,6.0650064e+18,7555481.1,6.4900741e+18
1.0534494e+09,6.0462564e+18,7559595.8,6.4900395e+18
1.0737418e+09,6.0449804e+18,7567825.2,6.4899705e+18
-,-,7584283.9,6.4898328e+18
-,-,7617201.3,6.4895591e+18
-,-,7683036.1,6.4890187e+18
-,-,7814705.8,6.4879644e+18
-,-,8078045.2,6.4859563e+18
-,-,8388608,6.4837178e+18
-,-,8879651,6.4804687e+18
-,-,9125172.5,6.4789135e+18
-,-,9616215.4,6.4760495e+18
-,-,10107258,6.4734074e+18
-,-,10352780,6.472139e+18
-,-,10598301,6.4709205e+18
-,-,10721062,6.4703234e+18
-,-,10843823,6.4697381e+18
-,-,10966584,6.4691643e+18
-,-,11027964,6.4688803e+18
-,-,11089344,6.468599e+18
-,-,11120035,6.4684591e+18
-,-,11181415,6.468182e+18
-,-,11304176,6.4676385e+18
-,-,11549697,6.4665921e+18
-,-,11795219,6.465584e+18
-,-,12286262,6.4637072e+18
-,-,12531783,6.4628018e+18
-,-,12593163,6.4625775e+18
-,-,12715924,6.462137e+18
-,-,12961446,6.4612861e+18
-,-,13206967,6.460464e+18
-,-,13268348,6.4602603e+18
-,-,13391108,6.4598598e+18
-,-,13636630,6.4590851e+18
-,-,14127673,6.457632e+18
-,-,14189053,6.4574518e+18
-,-,14311814,6.4570973e+18
-,-,14557335,6.4564103e+18
-,-,15048378,6.4551166e+18
-,-,15109759,6.4549561e+18
-,-,15232520,6.4546401e+18
-,-,15478041,6.4540264e+18
-,-,15969084,6.4528666e+18
-,-,16777216,6.4511162e+18
-,-,16838596,6.4509842e+18
-,-,16899977,6.450853e+18
-,-,17022737,6.4505942e+18
-,-,17084118,6.4504657e+18

